name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Allied Digital S...,3.5,(367 Reviews),Public,"Mumbai,Maharashtra + 30 more",28 years old,1k-5k Employees (India)
Rockwell Automat...,4.0,(367 Reviews),Private,"Milwaukee,Wisconsin + 15 more",120 years old,1k-5k Employees (India)
Maini Precision ...,3.6,(367 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",50 years old,1k-5k Employees (India)
Allied Digital S...,3.5,(367 Reviews),Public,"Mumbai,Maharashtra + 30 more",28 years old,1k-5k Employees (India)
Novotel Hotels,4.2,(367 Reviews),Private,Issy Les Moulineaux + 25 more,56 years old,1k-5k Employees (India)
Scientific Publi...,3.8,(366 Reviews),Private,Chennai + 2 more,28 years old,1k-5k Employees (India)
Poly Medicure,3.7,(366 Reviews),Public,"Delhi/NCR,Delhi + 25 more",26 years old,5k-10k Employees (India)
Canon,4.2,(366 Reviews),Private,"Ota City,Tokyo + 55 more",86 years old,1k-5k Employees (India)
eMids Technologi...,3.8,(366 Reviews),Private,"Franklin,Tennessee + 2 more",24 years old,1k-5k Employees (India)
Godrej Industrie...,4.1,(366 Reviews),Public,"Mumbai,Maharashtra + 45 more",60 years old,10k-50k Employees (India)
Pamac Finserve,3.6,(365 Reviews),Private,"Mumbai,Maharashtra + 49 more",28 years old,501-1k Employees (India)
Cox & Kings,3.7,(365 Reviews),Private,"Mumbai,Maharashtra + 47 more",265 years old,1k-5k Employees (India)
Agrostar,4.0,(364 Reviews),"Pune,Maharashtra + 24 more",10 years old,1k-5k Employees (India),
Hetero Healthcar...,3.6,(364 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 49 more",17 years old,1k-5k Employees (India)
Maharashtra Stat...,4.3,(364 Reviews),Private,"Mumbai,Maharashtra + 66 more",18 years old,50k-1 Lakh Employees (India)
The Akshaya Patr...,4.2,(364 Reviews),NGO/NPO,"Bangalore/Bengaluru,Karnataka + 53 more",23 years old,201-500 Employees (India)
PTC,4.2,(363 Reviews),Public,"Boston,Massachusetts + 32 more",38 years old,1k-5k Employees (India)
Bharat Gears,4.0,(363 Reviews),Public,"Mumbai,Maharashtra + 14 more",51 years old,1k-5k Employees (India)
J K Fenner,3.7,(363 Reviews),Private,"Chennai,Tamil Nadu + 31 more",36 years old,201-500 Employees (India)
VRL Logistics,3.9,(363 Reviews),Public,"Hubballi,Karnataka + 73 more",40 years old,10k-50k Employees (India)
Celebi Aviation ...,4.0,(363 Reviews),Mumbai + 10 more,,,
Westin,3.7,(362 Reviews),Private,"Kolkata,West Bengal + 27 more",93 years old,5k-10k Employees (India)
FCC Clutch,4.2,(362 Reviews),Hamamatsu + 16 more,84 years old,201-500 Employees (India),
Vijay Sales,4.2,(361 Reviews),Private,"Mumbai,Maharashtra + 29 more",56 years old,1k-5k Employees (India)
CIEL HR,4.1,(361 Reviews),Private,"Bangalore,Karnataka + 57 more",8 years old,501-1k Employees (India)
IRB Infrastructu...,4.2,(361 Reviews),Public,"Mumbai,Maharashtra + 45 more",25 years old,5k-10k Employees (India)
NJ India Invest,3.9,(361 Reviews),Private,Surat + 67 more,29 years old,1k-5k Employees (India)
Becton Dickinson,4.2,(361 Reviews),"Franklin Lakes,New Jersey + 27 more",22 years old,1k-5k Employees (India),
Talentpro,4.1,(360 Reviews),Private,"Chennai,Tamil Nadu + 79 more",23 years old,501-1k Employees (India)
Ness Technologie...,3.6,(360 Reviews),Private,"Teaneck,New Jersey + 8 more",24 years old,1k-5k Employees (India)
Cuemath,3.9,(360 Reviews),Private,"Bangalore,Karnataka + 16 more",10 years old,1k-5k Employees (India)
Baker Hughes,4.2,(359 Reviews),Private,"Boston,Massachusetts + 33 more",7 years old,1k-5k Employees (India)
Kajaria Ceramics,4.1,(359 Reviews),Public,"Delhi/NCR,New Delhi + 57 more",38 years old,1k-5k Employees (India)
Xerox,4.0,(359 Reviews),Bengaluru/Bangalore + 25 more,,,
Tafe Motors & Tr...,3.9,(359 Reviews),Bhopal + 28 more,1k-5k Employees (India),,
Rackspace,3.9,(358 Reviews),Private,"San Antonio,Texas + 7 more",25 years old,1k-5k Employees (India)
LG Soft India,3.6,(358 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",27 years old,1k-5k Employees (India)
Acadecraft,3.2,(358 Reviews),Private,"Noida,Uttar Pradesh + 10 more",12 years old,201-500 Employees (India)
Pennar Industrie...,3.7,(358 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 19 more",35 years old,1k-5k Employees (India)
Kirloskar Pneuma...,4.1,(358 Reviews),Public,"Pune,Maharashtra + 10 more",65 years old,1k-5k Employees (India)
Quislex Legal Se...,4.1,(358 Reviews),Private,"New York,New York + 3 more",19 years old,501-1k Employees (India)
Fino Paytech,4.1,(358 Reviews),"Mumbai,Maharashtra + 85 more",17 years old,51-200 Employees (India),
Henry Harvin Edu...,4.4,(358 Reviews),"Noida,Uttar Pradesh + 11 more",8 years old,51-200 Employees (India),
Lenovo,4.0,(357 Reviews),Private,Quarry Bay + 64 more,18 years old,1k-5k Employees (India)
Airports Authori...,4.4,(357 Reviews),Private,"Delhi/NCR,New Delhi + 73 more",28 years old,10k-50k Employees (India)
Nihilent,3.7,(357 Reviews),Private,"Pune,Maharashtra + 3 more",23 years old,1k-5k Employees (India)
Craftsman Automa...,3.9,(356 Reviews),Private,"Coimbatore,Tamil Nadu + 15 more",37 years old,1k-5k Employees (India)
Usha Martin,4.0,(356 Reviews),Public,"Kolkata,West Bengal + 25 more",62 years old,1k-5k Employees (India)
Apple,4.4,(356 Reviews),Private,"Cupertino,California + 71 more",47 years old,10k-50k Employees (India)
Practo,3.3,(356 Reviews),Private,"Bangalore,Karnataka + 19 more",15 years old,1k-5k Employees (India)
Pyramid IT Consu...,3.5,(356 Reviews),Private,"Atlanta,Georgia + 18 more",27 years old,51-200 Employees (India)
Manjushree Techn...,3.8,(355 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",40 years old,1k-5k Employees (India)
Jayaswal Neco In...,4.1,(355 Reviews),Public,"Nagpur,Maharashtra + 19 more",51 years old,1k-5k Employees (India)
Leighton Contrac...,4.4,(355 Reviews),Private,"Mumbai,Maharashtra + 16 more",25 years old,501-1k Employees (India)
EdgeVerve System...,3.7,(355 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",9 years old,1k-5k Employees (India)
MAHLE Behr India,4.2,(355 Reviews),JV,Pune + 6 more,26 years old,1k-5k Employees (India)
Sanghi Industrie...,3.6,(355 Reviews),Public,"Ahmedabad,Gujarat + 19 more",38 years old,201-500 Employees (India)
Psp Projects,3.9,(355 Reviews),Private,"Ahmedabad,Gujarat + 25 more",15 years old,1k-5k Employees (India)
Bristlecone,3.8,(355 Reviews),Private,"Pune,Maharashtra + 8 more",25 years old,1k-5k Employees (India)
Reliance Infrast...,3.9,(354 Reviews),Public,"Mumbai,Maharashtra + 44 more",94 years old,5k-10k Employees (India)
Bajaj Capital In...,3.8,(354 Reviews),New Delhi + 94 more,19 years old,1k-5k Employees (India),
Maxgen Technolog...,4.6,(354 Reviews),Private,"Mumbai,Maharashtra + 5 more",10 years old,201-500 Employees (India)
Hitachi Vantara,4.0,(354 Reviews),Private,Santa Clara + 8 more,5 years old,1k-5k Employees (India)
Prama Hikvision ...,3.5,(354 Reviews),Private,Hangzhou + 38 more,14 years old,201-500 Employees (India)
Praj Industries,4.1,(353 Reviews),Public,"Pune,Maharashtra + 12 more",40 years old,501-1k Employees (India)
TCS eServe,3.8,(353 Reviews),Private,Mumbai + 30 more,16 years old,10k-50k Employees (India)
Glaze Trading In...,4.1,(353 Reviews),Private,"Delhi/NCR,Delhi + 73 more",20 years old,5k-10k Employees (India)
Country Holidays...,4.5,(353 Reviews),Private,"New Delhi,Delhi + 11 more",1 years old,201-500 Employees (India)
JM Financial,3.9,(352 Reviews),Public,"Mumbai,Maharashtra + 58 more",39 years old,1k-5k Employees (India)
Forever Living P...,4.4,(352 Reviews),Private,"Scottsdale,Arizona + 44 more",45 years old,11-50 Employees (India)
Marlabs,3.7,(352 Reviews),Private,"Piscataway,New Jersey + 9 more",27 years old,1k-5k Employees (India)
McKinsey & Compa...,4.1,(352 Reviews),Private,Chennai + 13 more,97 years old,1k-5k Employees (India)
Suraksha Diagnos...,3.8,(352 Reviews),Private,Kolkata + 22 more,31 years old,1k-5k Employees (India)
Kissht Finance,3.9,(352 Reviews),Private,"Mumbai,Maharashtra + 53 more",8 years old,51-200 Employees (India)
SMC Global Secur...,3.6,(351 Reviews),Public,SMC Global Securities Ltd. + 53 more,29 years old,1k-5k Employees (India)
Tecnimont,3.7,(351 Reviews),Private,"Mumbai,Maharashtra + 20 more",18 years old,1k-5k Employees (India)
Kantar IMRB,3.7,(351 Reviews),Private,"Mumbai,Maharashtra + 25 more",53 years old,1k-5k Employees (India)
DealShare,3.3,(351 Reviews),Private,"Jaipur,Rajasthan + 38 more",5 years old,1k-5k Employees (India)
Herbalife Intern...,4.2,(351 Reviews),Private,Los Angeles + 71 more,43 years old,1k-5k Employees (India)
Castrol,4.2,(350 Reviews),Public,"Pangbourne,Berkshire + 75 more",124 years old,501-1k Employees (India)
Dodla Dairy,4.2,(350 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 48 more",28 years old,1k-5k Employees (India)
Vaaman Engineers,3.9,(350 Reviews),Private,Mumbai + 24 more,33 years old,1k-5k Employees (India)
PepsiCo (India) ...,4.2,(349 Reviews),Gurgaon/Gurugram + 81 more,,,
Licious,3.9,(349 Reviews),Private,"Bangalore,Karnataka + 27 more",8 years old,1k-5k Employees (India)
Lite Bite Foods,4.4,(349 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",22 years old,1k-5k Employees (India)
Toyota Industrie...,4.2,(349 Reviews),Private,"Kariya,Aichi + 3 more",28 years old,501-1k Employees (India)
Pace Setters Bus...,3.2,(349 Reviews),Mumbai + 15 more,17 years old,201-500 Employees (India),
Vedang Cellular ...,4.2,(349 Reviews),Mumbai + 48 more,13 years old,501-1k Employees (India),
Roop Polymers,4.0,(348 Reviews),Public,"Gurgaon/Gurugram,Haryana + 14 more",50 years old,1k-5k Employees (India)
Pearson Educatio...,4.2,(348 Reviews),Private,"Noida,Uttar Pradesh + 51 more",23 years old,201-500 Employees (India)
Coats,3.9,(348 Reviews),Private,Middlesex + 40 more,49 years old,1k-5k Employees (India)
Xavient Digital ...,3.9,(348 Reviews),Private,"Simi Valley,California + 4 more",21 years old,501-1k Employees (India)
Varthana,4.2,(347 Reviews),Private,"Bangalore,Karnataka + 53 more",10 years old,501-1k Employees (India)
Amber Enterprise...,4.0,(347 Reviews),Public,"Mumbai,Maharashtra + 21 more",33 years old,1k-5k Employees (India)
Testbook.com,3.6,(346 Reviews),Private,"Mumbai,Maharashtra + 16 more",9 years old,501-1k Employees (India)
VirtusaPolaris,3.7,(346 Reviews),Private,"Colombo,Colombo + 7 more",27 years old,1k-5k Employees (India)
Prince Pipes & F...,4.0,(346 Reviews),Public,"Mumbai,Maharashtra + 38 more",36 years old,1k-5k Employees (India)
Wipro PARI,3.5,(346 Reviews),Satara + 12 more,1k-5k Employees (India),,
Blue Yonder,4.2,(346 Reviews),Private,"Scottsdale,Arizona + 8 more",38 years old,1k-5k Employees (India)
Heidelberg Cemen...,4.1,(345 Reviews),Private,"Gurgaon/Gurugram,Haryana + 49 more",17 years old,1k-5k Employees (India)
RR kabel,4.1,(345 Reviews),Public,"Mumbai,Maharashtra + 63 more",28 years old,501-1k Employees (India)
DHL Global Forwa...,4.1,(344 Reviews),Private,Bonn + 19 more,208 years old,1k-5k Employees (India)
Delta Electronic...,4.0,(344 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",31 years old,501-1k Employees (India)
Zetwerk Manufact...,4.0,(344 Reviews),Private,"Bangalore,Karnataka + 46 more",5 years old,1k-5k Employees (India)
Jiva Ayurvedic P...,3.8,(344 Reviews),Private,"Faridabad,Haryana + 38 more",31 years old,1k-5k Employees (India)
Sudarshan Chemic...,3.7,(344 Reviews),Public,"Pune,Maharashtra + 16 more",72 years old,501-1k Employees (India)
Autoliv,4.0,(343 Reviews),Private,"Klarabergsviadukten 70,Stockholm + 10 more",70 years old,1k-5k Employees (India)
Mitsubishi Elect...,4.2,(343 Reviews),Private,"Chiyoda City,Tokyo + 33 more",102 years old,501-1k Employees (India)
Maersk Line,4.4,(343 Reviews),Public,"Copenhagen,Copenhagen + 21 more",119 years old,201-500 Employees (India)
Indecomm Global ...,3.5,(343 Reviews),Private,"Edison,New Jersey + 11 more",20 years old,1k-5k Employees (India)
Satya MicroCapit...,3.9,(343 Reviews),Public,"Delhi,NCT + 96 more",7 years old,1k-5k Employees (India)
Dr. Reddy's Foun...,4.0,(342 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 68 more",27 years old,501-1k Employees (India)
Corteva Agriscie...,4.3,(342 Reviews),Public,"Wilmington,Delaware + 58 more",4 years old,1k-5k Employees (India)
Mastek,3.8,(342 Reviews),Public,"Mumbai,Maharashtra + 10 more",41 years old,1k-5k Employees (India)
Marelli,3.8,(341 Reviews),Private,"Corbetta,Corbetta + 11 more",104 years old,501-1k Employees (India)
Monte Carlo,4.1,(341 Reviews),Public,"San Francisco,California + 61 more",39 years old,201-500 Employees (India)
Texmo Industries,3.8,(341 Reviews),Private,Coimbatore + 28 more,67 years old,501-1k Employees (India)
Hamilton Housewa...,4.1,(340 Reviews),Private,"Mumbai,Maharashtra + 24 more",51 years old,1k-5k Employees (India)
Fena,4.1,(340 Reviews),Private,"Delhi/NCR,Delhi + 55 more",47 years old,201-500 Employees (India)
BLK Super Specia...,4.0,(340 Reviews),Private,"Delhi/NCR,New Delhi + 8 more",64 years old,501-1k Employees (India)
Debtcare Enterpr...,4.5,(340 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 17 more",15 years old,201-500 Employees (India)
Hindusthan Natio...,3.7,(340 Reviews),Public,"Kolkata,West Bengal + 18 more",77 years old,501-1k Employees (India)
Otsuka Pharmaceu...,4.1,(339 Reviews),Private,"Chiyoda City,Tokyo + 26 more",11 years old,201-500 Employees (India)
Hitachi Energy,4.0,(339 Reviews),"Zurich,Switzerland + 15 more",5 years old,1k-5k Employees (India),
NetConnectGlobal,3.6,(338 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 37 more",26 years old,1k-5k Employees (India)
Advantmed,3.7,(338 Reviews),Private,"Santa Ana,California + 4 more",18 years old,501-1k Employees (India)
Sterling Holiday...,4.0,(338 Reviews),Public,"Chennai,Tamil Nadu + 48 more",37 years old,1k-5k Employees (India)
Dr. Batras' Posi...,3.5,(338 Reviews),Private,Mumbai + 79 more,41 years old,5k-10k Employees (India)
Satyam Auto Comp...,3.9,(338 Reviews),Private,"Ludhiana,Punjab + 16 more",22 years old,1k-5k Employees (India)
CtrlS,3.7,(337 Reviews),Private,"Hyderabad,Telangana + 11 more",16 years old,501-1k Employees (India)
SIS Prosegur Hol...,3.8,(337 Reviews),Private,"Patna,Bihar + 64 more",28 years old,10k-50k Employees (India)
Hpl Electric & P...,3.3,(337 Reviews),Private,"Noida,Uttar Pradesh + 44 more",31 years old,1k-5k Employees (India)
TriGeo Technolog...,3.1,(337 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",27 years old,11-50 Employees (India)
Bharti AXA Gener...,4.1,(337 Reviews),JV,Mumbai + 72 more,15 years old,1k-5k Employees (India)
Gallagher Servic...,3.9,(337 Reviews),Bengaluru/Bangalore + 5 more,5k-10k Employees (India),,
Efs Facilities S...,4.1,(336 Reviews),Private,"Dubai,Dubai + 38 more",17 years old,201-500 Employees (India)
Spark Minda,3.9,(336 Reviews),Public,Gurgaon + 25 more,65 years old,10k-50k Employees (India)
Hexagon Nutritio...,4.0,(336 Reviews),Private,"Mumbai,Maharashtra + 26 more",30 years old,501-1k Employees (India)
Fortis Escorts ...,4.0,(336 Reviews),Public,"Delhi/NCR,Delhi + 14 more",35 years old,5k-10k Employees (India)
ICFAI University,3.8,(335 Reviews),Private,"Dehradun,Uttarakhand + 55 more",20 years old,501-1k Employees (India)
Vizag Steel,4.0,(335 Reviews),Public,"Visakhapatnam/Vizag,Andhra Pradesh + 17 more",52 years old,10k-50k Employees (India)
British Council,3.9,(335 Reviews),Government,London + 17 more,89 years old,1k-5k Employees (India)
NTT,4.0,(335 Reviews),"Melbourne,Victoria + 31 more",35 years old,10k-50k Employees (India),
Mahanagar Gas,4.2,(334 Reviews),Public,"Mumbai,Maharashtra + 19 more",28 years old,1k-5k Employees (India)
RAK Ceramics,3.9,(334 Reviews),Private,"Ras Al Khaimah,Ras Al Khaimah + 36 more",34 years old,501-1k Employees (India)
BMC Software,4.2,(334 Reviews),Private,"Houston,Texas + 7 more",43 years old,1k-5k Employees (India)
Shriram Finance,4.0,(334 Reviews),Mumbai + 142 more,44 years old,51-200 Employees (India),
Metso Outotec,4.3,(334 Reviews),Alwar + 25 more,501-1k Employees (India),,
Chaayos,3.5,(333 Reviews),Private,"Delhi,NCT + 17 more",11 years old,1k-5k Employees (India)
AT&T,4.3,(333 Reviews),Private,"Dallas,Texas + 13 more",40 years old,10k-50k Employees (India)
Mahendra’s Insti...,3.3,(333 Reviews),Private,"Lucknow,Uttar Pradesh + 85 more",15 years old,201-500 Employees (India)
Metriqe Solution...,4.3,(333 Reviews),Private,Irving,16 years old,201-500 Employees (India)
Lakme,4.2,(333 Reviews),Public,"Mumbai,Maharashtra + 62 more",43 years old,201-500 Employees (India)
Lakme,4.2,(333 Reviews),Public,"Mumbai,Maharashtra + 62 more",43 years old,201-500 Employees (India)
Carlsberg,4.2,(332 Reviews),Private,"Vesterbro,Copenhagen + 49 more",176 years old,1k-5k Employees (India)
Vijay Nirman Com...,3.7,(332 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 28 more",41 years old,5k-10k Employees (India)
N.C.L. Industrie...,4.0,(332 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 43 more",43 years old,501-1k Employees (India)
Ramada,3.8,(332 Reviews),Private,"Gurgaon/Gurugram,Haryana + 42 more",13 years old,201-500 Employees (India)
Srei Equipment F...,4.4,(332 Reviews),Public,Kolkata + 73 more,34 years old,1k-5k Employees (India)
QuEST Global Eng...,3.7,(332 Reviews),Bengaluru/Bangalore + 9 more,26 years old,5k-10k Employees (India),
Veritas Finance,4.2,(332 Reviews),Private,"Chennai,Tamil Nadu + 121 more",8 years old,1k-5k Employees (India)
Baroda Global Sh...,3.8,(332 Reviews),Public,Mumbai + 53 more,6 years old,10k-50k Employees (India)
Gionee,4.2,(331 Reviews),Private,Shenzhen + 97 more,10 years old,501-1k Employees (India)
St. Xavier's Hig...,3.9,(331 Reviews),Private,"Mumbai,Maharashtra + 84 more",154 years old,1k-5k Employees (Global)
Gujarat Heavy Ch...,3.9,(331 Reviews),Public,"Noida,Uttar Pradesh + 19 more",40 years old,1k-5k Employees (India)
Trigent Software,3.8,(330 Reviews),Private,"Southborough,Massachusetts + 21 more",28 years old,501-1k Employees (India)
IDBI Intech,3.8,(330 Reviews),Private,"Navi Mumbai,Maharashtra + 19 more",23 years old,1k-5k Employees (India)
GTL Infrastructu...,4.5,(330 Reviews),Public,"Mumbai,Maharashtra + 39 more",19 years old,1k-5k Employees (India)
Syneos Health,4.0,(330 Reviews),Private,"Morrisville,North Carolina + 5 more",39 years old,1k-5k Employees (India)
PropTiger.com,4.1,(330 Reviews),Private,"Gurgaon,Haryana + 13 more",12 years old,1k-5k Employees (India)
Apex Group,3.5,(330 Reviews),Hamilton + 14 more,501-1k Employees (India),,
Black Knight,3.5,(329 Reviews),Private,"Jacksonville,Florida + 2 more",9 years old,501-1k Employees (India)
Continental,4.1,(329 Reviews),Private,Hanover + 38 more,152 years old,5k-10k Employees (India)
Shriram Housing ...,3.9,(329 Reviews),Public,"Mumbai,Maharashtra + 98 more",13 years old,501-1k Employees (India)
QHTalbros,3.6,(329 Reviews),Public,"Gurgaon/Gurugram,Haryana + 14 more",37 years old,5k-10k Employees (India)
